Gender,percentage,Specialization,collegeGPA,CollegeState,GraduationYear,English,Logical,Quant,Domain,ComputerProgramming,Salary
m,71.6,computer science & engineering,68.75,Andhra Pradesh,2014,290,485,310,0.744758354,435,320000
m,62,computer science & engineering,73.2,Rajasthan,2015,290,385,405,0.842248322,385,220000
m,66,computer engineering,67,Uttar Pradesh,2011,295,365,615,0.413838256,385,135000
f,82,computer science & engineering,73,Haryana,2012,300,560,605,0.356536488,485,200000
f,52,computer application,75,Tamil Nadu,2013,300,270,285,0.190153406,315,180000
m,61,information technology,62,Rajasthan,2013,300,385,340,0.190153406,315,200000
m,89.4,electronics and electrical engineering,77.85,Telangana,2013,300,425,705,0.875503907,355,325000
m,87.7,electronics and communication engineering,71.04,Telangana,2014,300,340,355,0.112139438,155,120000
m,66,information technology,60.62,Uttar Pradesh,2014,300,520,330,0.744758354,335,240000
m,59,electronics and communication engineering,65.6,Tamil Nadu,2010,305,365,485,0.229481755,345,480000
m,87.4,electronics and electrical engineering,77,Tamil Nadu,2010,305,435,295,0.229481755,445,570000
m,72,mechanical engineering,64,Madhya Pradesh,2010,305,395,455,0.654107475,165,1210000
f,71,electronics & telecommunications,75,Orissa,2010,305,365,525,0.824666401,365,610000
m,72,electronics and electrical engineering,67.46,Uttar Pradesh,2011,305,395,404,0.0587928,315,130000
m,43,computer application,62,Maharashtra,2011,305,415,285,0.24545566,335,180000
m,75.25,information technology,70.56,Tamil Nadu,2011,305,375,555,0.563267824,425,200000
m,64,information technology,67.3,Uttar Pradesh,2011,305,415,415,0.635978756,445,300000
m,60.5,electronics and electrical engineering,63.1,Tamil Nadu,2012,305,355,415,0.229481755,185,130000
m,63,information technology,65.67,Uttar Pradesh,2012,305,455,365,0.563267824,425,430000
m,87.5,electronics and communication engineering,68,Kerala,2012,305,395,445,0.824666401,345,355000
m,53.44,computer application,79.6,Karnataka,2012,305,555,645,0.901489571,545,310000
m,56.6,computer science & engineering,62.1,Uttar Pradesh,2012,310,440,575,0.635978756,445,210000
m,77,electronics and electrical engineering,80,Tamil Nadu,2013,310,475,355,0.444617717,315,100000
m,81,electronics and electrical engineering,66,Andhra Pradesh,2013,310,305,415,0.661834476,315,220000
m,60.2,electronics & telecommunications,70,Uttar Pradesh,2013,310,495,500,0.694479328,395,45000
m,69.84,information technology,69,Uttar Pradesh,2014,310,410,695,0.144789889,465,125000
m,75,electronics and communication engineering,73,Punjab,2014,310,450,500,0.338786347,335,220000
f,92,electronics and communication engineering,80,Tamil Nadu,2009,315,475,565,0.694479328,265,300000
m,54.5,computer engineering,57,Meghalaya,2010,315,394,355,0.190153406,315,175000
f,74,electronics & telecommunications,68.9,Telangana,2010,315,415,385,0.538386893,465,510000
m,75,computer engineering,68.9,Union Territory,2012,315,425,325,0.074546265,255,120000
m,86.91,information technology,70.5,Tamil Nadu,2012,315,245,305,0.276047228,345,160000
f,91.2,computer engineering,72,Andhra Pradesh,2012,315,395,415,0.670743151,455,155000
m,81.1,information technology,78.16,Andhra Pradesh,2013,315,340,235,0.356536488,295,105000
m,87.9,computer science & engineering,66,Telangana,2013,315,435,355,0.356536488,335,1500000
f,86,information technology,86,Maharashtra,2014,315,480,295,0.144789889,365,265000
m,66,computer science & engineering,70,Orissa,2014,315,530,380,0.356536488,275,195000
m,60,computer science & engineering,85,Uttar Pradesh,2014,315,505,510,0.744758354,565,210000
m,68,computer application,70,Tamil Nadu,2015,315,395,320,0.356536488,495,105000
m,46.33,mechanical engineering,65,Karnataka,2010,324,385,375,0.206710618,215,180000
m,90.6,information technology,69.04,Andhra Pradesh,2010,325,535,505,0.525922584,415,490000
m,91.9,electronics & telecommunications,70.56,Tamil Nadu,2010,325,295,575,0.694479328,225,180000
f,61,information technology,57.83,Maharashtra,2010,325,485,375,0.735795709,475,300000
m,66.6,computer engineering,75.34,Uttar Pradesh,2010,325,565,635,0.983749967,635,510000
m,84,electronics and communication engineering,72,Karnataka,2011,325,345,575,0.0587928,425,240000
f,65,computer engineering,72,Rajasthan,2011,325,345,445,0.735795709,475,360000
m,67.9,computer application,80,Telangana,2012,325,505,565,0.216785486,325,210000
m,86.4,computer engineering,73.12,Madhya Pradesh,2012,325,325,405,0.216785486,325,160000
f,83.75,computer engineering,70,Tamil Nadu,2012,325,375,335,0.276047228,345,325000
f,69.9,computer application,76,Tamil Nadu,2012,325,415,255,0.450876584,395,375000
m,85.67,mechatronics,75,Tamil Nadu,2012,325,345,405,0.490636956,395,100000
m,70,computer engineering,70.37,Rajasthan,2012,325,560,575,0.670743151,455,400000
f,77,computer science & engineering,75,Madhya Pradesh,2013,325,510,295,0.018540942,415,120000
m,64,information technology,62,Tamil Nadu,2013,325,370,260,0.04099931,315,110000
m,68.4,computer engineering,70.82,Uttar Pradesh,2013,325,400,680,0.23780284,445,260000
m,72.4,computer engineering,73.3,West Bengal,2013,325,485,515,0.308400583,355,380000
m,89,computer science & engineering,62,Telangana,2013,325,530,405,0.356536488,275,145000
m,71.67,information science engineering,74.55,Karnataka,2013,325,470,470,0.356536488,505,180000
m,79.2,electronics and communication engineering,68.4,Haryana,2013,325,545,460,0.493596387,285,250000
m,80.4,information technology,74,Delhi,2013,325,555,705,0.635978756,445,410000
m,71.25,electronics and communication engineering,67,Tamil Nadu,2013,325,425,475,0.783303537,275,225000
m,80,computer application,69.58,Andhra Pradesh,2013,325,470,570,0.843123727,515,120000
m,69,computer science & engineering,66,Haryana,2013,325,305,430,0.864685413,525,195000
m,70.8,computer science & engineering,75,Madhya Pradesh,2013,325,485,575,0.911395278,465,240000
m,91.33,electronics and electrical engineering,70,Tamil Nadu,2014,325,470,415,0.030565991,375,105000
m,69.6,electronics and communication engineering,72.52,Uttar Pradesh,2014,325,525,530,0.20739217,425,200000
m,54.33,information technology,79.6,Madhya Pradesh,2014,325,470,465,0.23780284,405,200000
m,54,information technology,56,Uttar Pradesh,2014,325,335,390,0.356536488,185,120000
m,70,information technology,68.88,Uttar Pradesh,2014,325,350,390,0.356536488,415,180000
m,71.6,computer science & engineering,66.32,Uttar Pradesh,2014,325,485,515,0.377551419,375,220000
m,75,computer application,71,Tamil Nadu,2014,325,385,285,0.486747008,465,60000
m,63.8,computer application,79.6,Jharkhand,2014,325,475,370,0.622642916,425,180000
m,84,computer science & engineering,85.78,Tamil Nadu,2014,325,435,545,0.842248322,485,315000
m,64,information technology,73,Maharashtra,2014,325,375,370,0.911395278,495,240000
f,88,electronics and communication engineering,73,Andhra Pradesh,2011,334,425,605,0.824666401,285,480000
m,66,computer application,70,Madhya Pradesh,2009,335,355,295,0.793580615,495,680000
f,55,information technology,63.47,Andhra Pradesh,2010,335,285,335,0.413838256,385,105000
f,48.34,information technology,66.34,Rajasthan,2011,335,454,525,0.190153406,315,200000
m,67,information technology,68.3,Tamil Nadu,2011,335,465,305,0.413838256,385,100000
m,59.77,computer application,64,Delhi,2011,335,515,565,0.942116551,575,105000
m,97.4,electronics and communication engineering,68.8,Telangana,2012,335,405,705,0.229481755,405,425000
f,83,computer science & engineering,85.5,Tamil Nadu,2012,335,400,330,0.23780284,325,175000
m,67,electronics and communication engineering,65,Karnataka,2012,335,435,445,0.338786347,535,150000
m,56.22,information technology,58.7,Maharashtra,2012,335,525,565,0.525922584,415,240000
m,81,computer science & engineering,81,Tamil Nadu,2012,335,535,495,0.563267824,425,300000
f,65.6,information technology,68.66,Haryana,2012,335,525,475,0.563267824,425,350000
m,62,information technology,70,Uttar Pradesh,2012,335,405,435,0.735795709,475,200000
f,88.7,computer science & engineering,75.35,Andhra Pradesh,2012,335,530,430,0.842248322,505,320000
m,70.2,computer science & engineering,65.66,Uttar Pradesh,2013,335,395,455,0.525922584,415,180000
m,62,computer application,75,Madhya Pradesh,2013,335,325,270,0.563267824,425,250000
m,84.5,information technology,67.68,Telangana,2013,335,350,145,0.563267824,425,150000
m,62,computer science & engineering,68,Delhi,2013,335,470,415,0.600057182,435,420000
m,72.8,computer science & engineering,75.8,Uttar Pradesh,2013,335,470,440,0.744758354,525,210000
m,58,computer application,68,Uttarakhand,2013,335,450,650,0.843123727,515,240000
m,65,computer science & engineering,64.06,Rajasthan,2014,335,400,280,0.04099931,495,105000
m,69.32,computer science & engineering,71,Madhya Pradesh,2014,335,350,345,0.080055281,355,180000
m,54,computer science & engineering,64,Uttar Pradesh,2014,335,535,400,0.486747008,395,145000
m,81.33,computer science & engineering,74.04,Uttar Pradesh,2014,335,540,415,0.622642916,435,200000
f,90.6,computer science & engineering,70.4,Andhra Pradesh,2014,335,505,630,0.622642916,555,305000
m,65.6,information technology,63.5,Uttar Pradesh,2014,335,530,575,0.765673581,485,150000
m,52.8,computer application,72.27,Uttarakhand,2014,335,570,515,0.842248322,605,150000
m,61.2,computer engineering,66.3,Madhya Pradesh,2009,345,335,345,0.190153406,315,415000
m,66.5,electronics and electrical engineering,66.7,Tamil Nadu,2010,345,255,395,0.0587928,195,205000
m,65.25,computer application,71.7,Tamil Nadu,2010,345,335,405,0.143256541,295,110000
m,55,computer engineering,68,Rajasthan,2010,345,455,335,0.24545566,335,550000
m,71,computer engineering,70,Uttar Pradesh,2010,345,475,625,0.3423149,365,370000
m,81.75,computer engineering,70,Tamil Nadu,2010,345,475,225,0.525922584,415,125000
m,82.5,computer engineering,69.1,Madhya Pradesh,2010,345,545,585,0.843123727,515,430000
m,45.6,computer application,69.7,Uttar Pradesh,2011,345,385,345,0.600057182,435,300000
m,86,computer application,67.4,West Bengal,2011,345,455,435,0.600057182,435,650000
m,66.8,information technology,69.98,Uttar Pradesh,2011,345,365,515,0.930370607,565,200000
m,72.4,computer engineering,69.85,Uttar Pradesh,2012,345,265,220,0.008537253,155,280000
f,77,information technology,75.2,Tamil Nadu,2012,345,585,395,0.190153406,315,120000
m,60,computer science & engineering,70.26,Uttar Pradesh,2012,345,455,554,0.216785486,325,120000
m,61,information technology,72,West Bengal,2012,345,335,275,0.24545566,335,100000
m,60,computer engineering,64,Tamil Nadu,2012,345,375,315,0.3423149,365,220000
m,76,civil engineering,58,Uttarakhand,2012,345,525,325,0.371138666,115,290000
m,77.7,information technology,76,Madhya Pradesh,2012,345,485,454,0.450876584,395,420000
f,64.4,computer science & engineering,70.68,Uttar Pradesh,2012,345,465,620,0.600057182,435,200000
f,73.83,computer application,88,Tamil Nadu,2012,345,475,345,0.843123727,515,315000
m,69.89,computer engineering,66.5,Uttar Pradesh,2012,345,630,590,0.952245573,585,520000
f,82.8,electronics and communication engineering,74.28,Madhya Pradesh,2013,345,450,370,0.0587928,345,85000
m,62,computer engineering,69,Uttar Pradesh,2013,345,385,495,0.143256541,295,180000
f,85,information technology,76,Madhya Pradesh,2013,345,335,475,0.23780284,425,200000
f,62,computer engineering,64.9,Rajasthan,2013,345,425,280,0.356536488,345,180000
m,74,computer science & engineering,72,Tamil Nadu,2013,345,570,455,0.450876584,395,240000
f,73,computer engineering,74,Rajasthan,2013,345,435,445,0.563267824,425,250000
m,79.23,computer engineering,69,Rajasthan,2013,345,485,590,0.563267824,425,200000
m,87.4,information technology,81.89,Uttarakhand,2013,345,470,485,0.600057182,435,290000
f,66.6,information technology,74.3,Madhya Pradesh,2013,345,440,545,0.635978756,445,105000
f,68,computer science & engineering,81.4,West Bengal,2013,345,570,220,0.843123727,515,95000
m,77,computer science & engineering,83,Karnataka,2013,345,525,365,0.942116551,575,400000
m,62,computer science & engineering,75,Uttar Pradesh,2014,345,470,365,0.356536488,435,180000
m,55.44,computer application,67,Punjab,2014,345,470,400,0.486747008,455,120000
f,89,information technology,83,Tamil Nadu,2014,345,495,325,0.622642916,445,150000
m,91.7,information technology,70,Telangana,2014,345,340,445,0.735795709,475,305000
m,72.15,computer application,81,Tamil Nadu,2015,345,410,500,0.670743151,455,325000
m,63,computer science & engineering,61.02,Punjab,2012,350,290,495,0.486747008,415,105000
m,62,information technology,63.3,Uttar Pradesh,2012,350,485,485,0.744758354,385,180000
m,79.6,electronics and communication engineering,68,Gujarat,2012,350,520,450,0.783303537,295,205000
m,83,electronics and communication engineering,77.72,Telangana,2013,350,470,405,0.20739217,355,200000
m,75.6,information technology,62,Tamil Nadu,2013,350,480,465,0.450876584,395,105000
m,70,electronics and communication engineering,70,Karnataka,2014,350,240,210,0.112139438,315,100000
f,79.4,computer science & engineering,78.34,Uttar Pradesh,2014,350,630,760,0.144789889,455,340000
m,56.9,computer science & engineering,60.01,Rajasthan,2014,350,335,400,0.23780284,375,285000
m,74.4,information technology,72,Uttar Pradesh,2014,350,530,415,0.276047228,345,120000
m,85.4,computer science & engineering,79.39,Telangana,2014,350,470,430,0.486747008,465,35000
m,92,electronics and communication engineering,72,Andhra Pradesh,2014,350,590,570,0.493596387,415,320000
m,95,electronics and communication engineering,72,Andhra Pradesh,2010,355,405,585,0.229481755,395,530000
m,52,computer application,60,Uttar Pradesh,2010,355,405,395,0.450876584,395,100000
f,53,computer application,69,Telangana,2010,355,315,435,0.600057182,435,1200000
m,60.8,information technology,69.73,Uttar Pradesh,2011,355,515,465,0.143256541,295,500000
m,61,computer application,64,Uttar Pradesh,2011,355,325,535,0.377551419,375,340000
m,60.1,computer engineering,63.1,Uttar Pradesh,2011,355,335,495,0.635978756,445,180000
f,50,electronics and communication engineering,75.84,Haryana,2011,355,425,355,0.694479328,355,400000
f,72,computer application,78,Karnataka,2011,355,375,425,0.735795709,475,400000
m,74.96,computer engineering,72.6,Karnataka,2011,355,315,445,0.793580615,495,500000
m,70.4,information technology,70.38,Uttar Pradesh,2011,355,515,595,0.793580615,495,600000
m,59,information technology,63,Karnataka,2011,355,565,495,0.930370607,565,430000
m,69,electronics and communication engineering,75,Karnataka,2012,355,485,425,0.0587928,325,300000
f,73,electronics and electrical engineering,77,Tamil Nadu,2012,355,405,305,0.124502074,315,100000
m,63,information technology,63,Haryana,2012,355,335,155,0.143256541,295,150000
m,93,electronics and communication engineering,79.16,Telangana,2012,355,305,485,0.376059587,305,100000
m,68.8,computer application,67.8,Uttar Pradesh,2012,355,265,465,0.563267824,425,145000
m,96,information technology,74.5,Telangana,2012,355,345,405,0.600057182,435,280000
f,88,information technology,72.72,Maharashtra,2012,355,425,385,0.704090412,465,400000
m,59,computer application,83.52,West Bengal,2012,355,575,615,0.915418435,554,100000
f,80.6,computer engineering,81.76,Uttar Pradesh,2012,355,495,684,0.916869961,555,800000
m,72,computer science & engineering,65.51,Uttar Pradesh,2013,355,255,345,0.24545566,335,100000
m,61,information technology,72,Haryana,2011,360,460,355,0.450876584,395,325000
m,63,information technology,67,Union Territory,2013,360,440,340,0.042223131,225,350000
f,84.7,information technology,76.67,Telangana,2013,360,435,295,0.190153406,315,300000
m,73,information technology,66,Madhya Pradesh,2013,360,400,575,0.276047228,345,120000
m,72.6,computer engineering,73.6,Uttar Pradesh,2013,360,425,445,0.3423149,365,200000
m,73,information technology,69.2,Tamil Nadu,2013,360,435,120,0.356536488,375,120000
m,60,information technology,65.62,Uttar Pradesh,2013,360,470,195,0.450876584,395,280000
m,89.7,electronics and computer engineering,71,Andhra Pradesh,2013,360,460,430,0.744758354,515,240000
m,54,computer science & engineering,66,Maharashtra,2013,360,495,280,0.793580615,495,400000
f,68.8,computer science & engineering,70.1,Chhattisgarh,2013,360,640,560,0.911395278,445,120000
m,56.3,computer science & engineering,81.7,Orissa,2013,360,565,570,0.911395278,575,450000
m,65,computer engineering,83,West Bengal,2013,360,585,575,0.916869961,555,60000
m,81,computer science & engineering,71.64,Chhattisgarh,2013,360,460,270,0.978799293,415,95000
m,53,computer application,76,Uttar Pradesh,2014,360,325,370,0.744758354,345,245000
f,74,computer application,76,Uttar Pradesh,2014,360,545,520,0.744758354,415,200000
m,47.83,computer application,78.83,Karnataka,2009,365,505,325,0.864685413,525,300000
m,55.5,information technology,61.5,Haryana,2010,365,334,475,0.276047228,345,280000
f,56,computer engineering,72,Maharashtra,2010,365,485,435,0.308400583,355,200000
m,77.56,electronics & telecommunications,72,Orissa,2010,365,415,315,0.376059587,315,450000
m,61.7,computer application,79,West Bengal,2010,365,365,425,0.377551419,375,310000
m,73.6,computer application,85.2,Orissa,2010,365,385,454,0.765673581,485,100000
m,81.1,information technology,72.44,Telangana,2010,365,495,485,0.793580615,495,180000
m,62,computer application,85,Orissa,2010,365,555,615,0.930370607,565,530000
m,59.4,information technology,60,Haryana,2011,365,365,395,0.165633092,305,150000
f,73.3,computer engineering,69.2,Karnataka,2011,365,385,315,0.413838256,385,200000
f,74.4,information technology,74,Orissa,2011,365,585,415,0.600057182,435,380000
f,61.85,computer application,75.81,Rajasthan,2011,365,355,415,0.670743151,455,300000
m,69,computer application,75,Karnataka,2011,365,305,545,0.864685413,525,505000
f,68,computer engineering,68,Rajasthan,2011,365,515,645,0.979521744,625,380000
m,62,computer engineering,62,Orissa,2012,365,355,305,0.3423149,365,100000
m,64.4,information technology,76.3,West Bengal,2012,365,355,555,0.488347977,405,220000
f,78.4,computer application,71.25,West Bengal,2012,365,525,524,0.735795709,475,120000
m,94.5,electronics and communication engineering,72,Telangana,2012,365,395,455,0.824666401,395,325000
f,86.9,computer engineering,71.02,Andhra Pradesh,2012,365,515,375,0.884122512,535,265000
f,90.17,computer engineering,67.75,Maharashtra,2012,365,395,485,0.916869961,555,250000
f,66.67,computer application,64.67,Rajasthan,2013,365,464,375,0.23780284,425,160000
m,80.83,electronics and communication engineering,63,Tamil Nadu,2011,370,460,340,0.538386893,455,230000
f,82,computer science & engineering,74.01,Haryana,2012,370,495,455,0.080055281,445,205000
m,67,computer science & engineering,62,Tamil Nadu,2012,370,370,320,0.144789889,405,135000
m,60,computer science & engineering,64,Telangana,2012,370,280,250,0.356536488,315,170000
m,67.25,computer engineering,80.06,Tamil Nadu,2012,370,415,180,0.488347977,405,185000
f,61,computer science & engineering,75,Chhattisgarh,2012,370,410,320,0.488347977,405,120000
f,87,computer application,70.44,Telangana,2012,370,535,500,0.635978756,445,300000
m,52,mechanical engineering,55,Uttar Pradesh,2012,370,305,370,0.654107475,125,100000
m,73,computer science & engineering,78.9,Haryana,2012,370,645,695,0.952245573,585,220000
f,67,information technology,72.89,Uttar Pradesh,2013,370,425,430,0.144789889,325,220000
f,65,computer application,73,Telangana,2013,370,370,380,0.23780284,485,100000
m,67,information technology,69.5,Uttar Pradesh,2013,370,390,355,0.24545566,335,235000
m,65,electrical engineering,65.24,Karnataka,2013,370,410,470,0.298769129,325,200000
m,86.33,information technology,66.93,Maharashtra,2013,370,400,485,0.377551419,375,360000
m,75.5,information technology,69.3,Tamil Nadu,2013,370,390,285,0.486747008,315,200000
m,68,computer science & engineering,80,Uttarakhand,2013,370,415,470,0.670743151,455,100000
f,88,computer science & engineering,71,Telangana,2013,370,470,280,0.704090412,465,105000
f,72.2,computer science & engineering,69.78,Delhi,2013,370,500,455,0.704090412,465,375000
m,63.33,computer science & engineering,64.88,Madhya Pradesh,2013,370,500,720,0.735795709,475,310000
m,76,computer science & engineering,76,West Bengal,2013,370,390,575,0.744758354,175,320000
m,76,information technology,69.43,Madhya Pradesh,2013,370,385,385,0.765673581,485,300000
m,63,information technology,67,Uttar Pradesh,2013,370,410,470,0.842248322,415,105000
m,56.8,computer application,79.29,Delhi,2013,370,525,545,0.960903087,595,100000
f,66.8,electronics and communication engineering,68.5,Uttar Pradesh,2014,370,470,260,0.053160305,385,200000
m,59.2,computer science & engineering,74.28,Uttar Pradesh,2014,370,460,500,0.144789889,505,315000
m,81.5,electronics & telecommunications,77,Maharashtra,2014,370,450,310,0.338786347,405,310000
m,88.3,computer science & engineering,85,Tamil Nadu,2014,370,375,325,0.356536488,315,300000
f,90.91,civil engineering,71.66,Tamil Nadu,2014,370,520,415,0.536782667,415,150000
m,60.2,electronics and communication engineering,81,West Bengal,2014,370,335,565,0.649389715,625,210000
m,57.1,computer application,73,Tamil Nadu,2014,370,510,475,0.843123727,515,180000
f,81,electronics and communication engineering,82.6,Himachal Pradesh,2015,370,445,390,0.338786347,445,300000
f,70,computer science & engineering,73,Tamil Nadu,2015,370,370,285,0.356536488,105,1025000
m,80.2,computer science & engineering,77.04,Punjab,2015,370,590,605,0.991230625,555,300000
m,55.8,computer application,63,Kerala,2010,375,375,385,0.600057182,435,120000
f,62.8,computer engineering,69.98,Uttar Pradesh,2011,375,505,435,0.3423149,365,300000
f,43.12,computer application,68,Maharashtra,2011,375,355,465,0.413838256,385,160000
m,51,computer application,74,Tamil Nadu,2011,375,405,395,0.600057182,435,180000
m,75,information technology,65.48,Uttar Pradesh,2011,375,535,575,0.600057182,435,315000
m,70.2,computer application,75,Andhra Pradesh,2011,375,525,605,0.942116551,575,320000
f,68.8,computer engineering,69,Haryana,2012,375,385,394,0.144789889,395,180000
m,65,information technology,62,Telangana,2012,375,355,255,0.190153406,315,240000
m,57.8,computer engineering,58,Karnataka,2012,375,435,495,0.276047228,345,225000
f,50,computer engineering,61,Karnataka,2012,375,425,315,0.377551419,375,300000
f,81.6,information technology,71.88,Uttar Pradesh,2012,375,435,485,0.525922584,415,70000
f,71,computer application,75.88,Delhi,2012,375,395,375,0.600057182,435,100000
m,78.86,computer engineering,74.44,Karnataka,2012,375,555,555,0.670743151,455,415000
f,91,electronics and instrumentation engineering,81,Tamil Nadu,2012,375,405,385,0.694479328,425,360000
f,83,computer application,86.7,Tamil Nadu,2012,375,435,425,0.735795709,475,300000
m,53,computer application,71,West Bengal,2012,375,535,625,0.901489571,545,300000
m,59,electronics and communication engineering,65.16,Uttar Pradesh,2012,375,435,455,0.910770164,285,180000
m,83,computer science & engineering,77,Delhi,2012,375,595,585,0.994050872,675,550000
m,74,electronics engineering,8.07,Maharashtra,2014,375,245,295,0.694479328,125,360000
m,56,information technology,70,Madhya Pradesh,2012,380,375,370,0.23780284,435,180000
m,69.45,computer engineering,76,West Bengal,2012,380,485,530,0.735795709,475,110000
m,65.83,information science engineering,72.73,Karnataka,2012,380,545,445,0.735795709,475,420000
m,73.2,computer science & engineering,76.54,Uttar Pradesh,2012,380,570,650,0.842248322,575,525000
m,78.4,computer science & engineering,68.5,Telangana,2013,380,410,515,0.080055281,295,240000
m,58,information technology,68,Jharkhand,2013,380,340,500,0.276047228,345,90000
m,49.67,computer application,81.48,Tamil Nadu,2013,380,560,455,0.486747008,565,95000
f,93.8,computer engineering,74.1,Telangana,2013,380,535,530,0.525922584,415,270000
m,61,electronics and communication engineering,67,Rajasthan,2013,380,450,445,0.538386893,355,200000
m,95.5,electronics and communication engineering,83.62,Telangana,2013,380,475,575,0.538386893,375,200000
m,89.33,electrical engineering,77,Tamil Nadu,2013,380,400,470,0.610611988,395,40000
f,95.41,electronics and communication engineering,85,Tamil Nadu,2013,380,580,445,0.694479328,405,180000
m,54,computer application,67.05,Punjab,2013,380,365,430,0.735795709,475,100000
m,64.6,electronics and electrical engineering,79.6,Karnataka,2013,380,485,705,0.837620726,375,300000
m,87.58,information technology,6.63,Tamil Nadu,2014,380,355,210,0.144789889,285,195000
m,60,computer science & engineering,66,Uttar Pradesh,2014,380,545,460,0.356536488,395,145000
m,93.9,computer science & engineering,73.2,Andhra Pradesh,2014,380,525,720,0.356536488,575,325000
f,93.6,information technology,70.22,Telangana,2014,380,460,555,0.486747008,365,300000
m,79.6,electronics and instrumentation engineering,65.3,Uttar Pradesh,2014,380,440,415,0.493596387,315,180000
m,62,information technology,62.44,Uttar Pradesh,2014,380,510,515,0.635978756,445,180000
m,81.8,computer science & engineering,76.4,Delhi,2014,380,645,620,0.991230625,675,325000
m,74.53,electronics and electrical engineering,68,Telangana,2010,385,345,425,0.229481755,275,200000
m,94.5,electronics & instrumentation eng,80,Tamil Nadu,2010,385,435,385,0.376059587,375,350000
m,62,computer engineering,75,Tamil Nadu,2010,385,395,455,0.450876584,395,470000
m,61.2,electronics & telecommunications,65.24,Uttar Pradesh,2010,385,565,525,0.538386893,415,240000
m,70,computer engineering,70.17,Rajasthan,2010,385,505,495,0.600057182,435,120000
m,81.6,computer engineering,62,Andhra Pradesh,2010,385,595,454,0.704090412,465,570000
m,79.4,electronics and communication engineering,69.47,Tamil Nadu,2010,385,385,404,0.824666401,325,385000
m,93.5,computer engineering,74.3,Telangana,2010,385,525,535,0.952245573,585,555000
m,70,electronics and electrical engineering,80,Orissa,2011,385,505,545,0.229481755,335,280000
m,65.56,information technology,73.19,Madhya Pradesh,2011,385,425,485,0.600057182,435,385000
m,83.3,computer application,68.5,Uttar Pradesh,2011,385,545,605,0.864685413,525,445000
m,73,computer engineering,78.7,Uttar Pradesh,2011,385,475,305,0.916869961,555,150000
f,82.8,computer engineering,69.16,Telangana,2012,385,355,345,0.3423149,365,115000
m,62,electronics and communication engineering,60,Orissa,2012,385,510,295,0.436962648,335,100000
m,66,computer application,52,Maharashtra,2012,385,365,385,0.488347977,405,180000
m,77,information technology,75.2,Karnataka,2012,385,515,465,0.525922584,415,405000
f,74.4,information technology,74.01,Uttar Pradesh,2012,385,555,445,0.635978756,445,200000
f,69.58,computer application,79,Tamil Nadu,2012,385,515,555,0.670743151,455,350000
